Имена существительные - 41454: 
сеть : 17 : сеть
сеть : 17 : сеть
текст : 17 : текста
текст : 17 : текста
задача : 17 : задачах
задача : 17 : задачах
аналитик : 17 : аналитика
аналитик : 17 : аналитика
сборник : 17 : сборник
сборник : 17 : сборник
труд : 17 : трудов
труд : 17 : трудов
москва : 17 : москва
москва : 17 : москва
часть : 17 : часть
часть : 17 : часть
результат : 17 : результатов
результат : 17 : результатов
исследование : 17 : исследований
исследование : 17 : исследований
уж : 17 : уже
уж : 17 : уже
внедрение : 17 : внедрение
внедрение : 17 : внедрение
система : 17 : системе
система : 17 : системе
поддержка : 17 : поддержки
поддержка : 17 : поддержки
поиск : 17 : поиска
поиск : 17 : поиска
анализ : 17 : анализа
анализ : 17 : анализа
документ : 17 : документов
документ : 17 : документов
субд : 17 : субд
субд : 17 : субд
ряд : 17 : ряде
ряд : 17 : ряде
проект : 17 : проектов
проект : 17 : проектов
основа : 17 : основу
основа : 17 : основу
подход : 17 : подходов
подход : 17 : подходов
модель : 17 : модели
модель : 17 : модели
обработка : 17 : обработки
обработка : 17 : обработки
информация : 17 : информации
информация : 17 : информации
мозг : 17 : мозгом
мозг : 17 : мозгом
применение : 17 : применением
применение : 17 : применением
алгоритм : 17 : алгоритмов
алгоритм : 17 : алгоритмов
опыт : 17 : опыт
опыт : 17 : опыт
момент : 17 : момент
момент : 17 : момент
интерес : 17 : интерес
интерес : 17 : интерес
заказчик : 17 : заказчика
заказчик : 17 : заказчика
технология : 17 : технология
технология : 17 : технология
анализ : 17 : анализа
анализ : 17 : анализа
визуализация : 17 : визуализации
визуализация : 17 : визуализации
содержание : 17 : содержания
содержание : 17 : содержания
текст : 17 : текста
текст : 17 : текста
основа : 17 : основе
основа : 17 : основе
сеть : 17 : сетей
сеть : 17 : сетей
решение : 17 : решения
решение : 17 : решения
задача : 17 : задач
задача : 17 : задач
поиск : 17 : поиском
поиск : 17 : поиском
информация : 17 : информации
информация : 17 : информации
массив : 17 : массивах
массив : 17 : массивах
документ : 17 : документов
документ : 17 : документов
основа : 17 : основе
основа : 17 : основе
процедура : 17 : процедур
процедура : 17 : процедур
анализ : 17 : анализа
анализ : 17 : анализа
документ : 17 : документов
документ : 17 : документов
представление : 17 : представление
представление : 17 : представление
смысл : 17 : смысла
смысл : 17 : смысла
текст : 17 : текста
текст : 17 : текста
форма : 17 : форме
форма : 17 : форме
сеть : 17 : сети
сеть : 17 : сети
сеть : 17 : сеть
сеть : 17 : сеть
слово : 17 : слова
слово : 17 : слова
текст : 17 : текста
текст : 17 : текста
нагрузка : 17 : нагрузку
нагрузка : 17 : нагрузку
список : 17 : список
список : 17 : список
понятие : 17 : понятий
понятие : 17 : понятий
