Имена прилагательные - 14912: 
семантический : 18 : семантическая
информационный : 18 : информационная
правоохранительный : 18 : правоохранительных
международный : 18 : международная
научный : 18 : научная
оригинальный : 18 : оригинальные
человеческий : 18 : человеческим
лингвистический : 18 : лингвистических
русскоязычный : 18 : русскоязычного
другой : 18 : других
автоматический : 18 : автоматического
естественный : 18 : естественном
оригинальный : 18 : оригинальные
человеческий : 18 : человеческим
лингвистический : 18 : лингвистических
русскоязычный : 18 : русскоязычного
другой : 18 : других
наш : 18 : наш
настоящий : 18 : настоящий
наибольший : 18 : наибольший
семантический : 18 : семантических
весь : 18 : всего
экспертный : 18 : экспертных
связанный : 18 : связанных
скрытый : 18 : скрытой
больший : 18 : больших
основной : 18 : основных
настоящий : 18 : настоящий
ассоциативный : 18 : ассоциативной
семантический : 18 : семантической
связанный : 18 : связанных
семантический : 18 : семантическую
основной : 18 : основную
смысловой : 18 : смысловую
каждый : 18 : каждого
ассоциативный : 18 : ассоциативных
смысловой : 18 : смысловых
другой : 18 : других
чаще : 10 : чаще
выше : 10 : выше
лингвистический : 18 : лингвистические
морфологический : 18 : морфологический
синтаксический : 18 : синтаксический
русский : 18 : русского
такой : 18 : такие
библиотечный : 18 : библиотечных
библиотечный : 18 : библиотечных
один : 18 : одному
библиотечный : 18 : библиотечной
общеупотребимый : 18 : общеупотребимые
самостоятельный : 18 : самостоятельной
смысловой : 18 : смысловой
широкий : 18 : широкое
сам : 18 : сами
выраженный : 18 : выраженное
сельский : 18 : сельского
статистический : 18 : статистические
синтаксический : 18 : синтаксических
общий : 18 : общее
такой : 18 : таким
каждый : 18 : каждой
семантический : 18 : семантической
тематический : 18 : тематический
тематический : 18 : тематического
равный : 18 : равное
ключевой : 18 : ключевой
важнейший : 18 : важнейшей
близкий : 18 : близкое
нем : 19 : нем
мал : 19 : мало
большой : 18 : большое
один : 18 : одной
другой : 18 : другой
близкий : 18 : близкое
первый : 18 : первой
первый : 18 : первая
первый : 18 : первая
двусторонний : 18 : двусторонняя
первый : 18 : первой
самый : 18 : самый
обратный : 18 : обратная
первый : 18 : первой
такой : 18 : такое
один : 18 : одна
другой : 18 : другой
тематический : 18 : тематический
ассоциативен : 19 : ассоциативно
связанный : 18 : связанными
каждый : 18 : каждой
тематический : 18 : тематическое
информативный : 18 : информативные
общий : 18 : общее
информативный : 18 : информативных
ключевой : 18 : ключевым
ассоциативный : 18 : ассоциативных
скрытый : 18 : скрытые
семантический : 18 : семантической
другой : 18 : других
эталонный : 18 : эталонных
заданный : 18 : заданной
семантический : 18 : семантическая
известный : 18 : известную
предметный : 18 : предметной
новостной : 18 : новостном
известный : 18 : известных
известный : 18 : известных
заданный : 18 : заданными
семантический : 18 : семантической
тематический : 18 : тематического
целевой : 18 : целевой
новостной : 18 : новостного
ключевой : 18 : ключевых
связной : 18 : связных
семантический : 18 : семантических
информационный : 18 : информационного
ключевой : 18 : ключевых
новый : 18 : новой
неожиданный : 18 : неожиданной
связанный : 18 : связанной
скрытый : 18 : скрытые
другой : 18 : другими
семантический : 18 : семантической
ассоциативный : 18 : ассоциативные
заданный : 18 : заданные
известный : 18 : известных
неизвестный : 18 : неизвестных
конкретный : 18 : конкретных
детальный : 18 : детальное
семантический : 18 : семантических
графический : 18 : графическое
различный : 18 : различных
оптимальный : 18 : оптимальное
зрительный : 18 : зрительного
связанный : 18 : связанные
естественный : 18 : естественном
связанный : 18 : связанные
заданный : 18 : заданных
кратчайший : 18 : кратчайшими
ассоциативный : 18 : ассоциативными
заданный : 18 : заданных
весовой : 18 : весовых
значимый : 18 : значимые
предметный : 18 : предметной
общий : 18 : общие
тематический : 18 : тематические
программный : 18 : программные
семантический : 18 : семантических
многопользовательский : 18 : многопользовательской
клиентский : 18 : клиентских
семантический : 18 : семантической
небольшой : 18 : небольшой
русскоязычный : 18 : русскоязычных
информационный : 18 : информационной
периодический : 18 : периодической
основной : 18 : основных
пропорционален : 19 : пропорционален
тематический : 18 : тематических
семантический : 18 : семантической
семантический : 18 : семантическую
связанный : 18 : связанную
ближайший : 18 : ближайшее
семантический : 18 : семантическое
интересный : 18 : интересную
связанный : 18 : связанную
единственный : 18 : единственный
очевидный : 18 : очевидные
криминальный : 18 : криминальные
весь : 18 : все
некоторый : 18 : некоторую
заданный : 18 : заданная
политический : 18 : политической
ассоциативный : 18 : ассоциативные
желательный : 18 : желательной
военный : 18 : военную
иностранный : 18 : иностранных
нынешний : 18 : нынешний
внешнеполитический : 18 : внешнеполитическую
российский : 18 : российского
сегодняшний : 18 : сегодняшней
правительственный : 18 : правительственного
сам : 18 : самого
уголовный : 18 : уголовной
скрытый : 18 : скрытых
ассоциативный : 18 : ассоциативных
сильный : 18 : сильных
ассоциативный : 18 : ассоциативных
заданный : 18 : заданными
адекватный : 18 : адекватной
брянский : 18 : брянской
длинный : 18 : длинная
случайный : 18 : случайной
прочий : 18 : прочих
адекватный : 18 : адекватных
предметный : 18 : предметной
семантический : 18 : семантическую
известный : 18 : известными
такой : 18 : такой
семантический : 18 : семантическую
предметный : 18 : предметной
сплошной : 18 : сплошной
заданный : 18 : заданным
пунктирный : 18 : пунктирные
семантический : 18 : семантической
известный : 18 : известные
предметный : 18 : предметной
семантический : 18 : семантических
полный : 18 : полного
синтаксический : 18 : синтаксического
русский : 18 : русского
смысловой : 18 : смысловая
общий : 18 : общем
такой : 18 : таких
логический : 18 : логическую
реляционный : 18 : реляционной
семантический : 18 : семантическим
фактографический : 18 : фактографического
весь : 18 : всех
весь : 18 : все
именной : 18 : именные
связанный : 18 : связанные
заданный : 18 : заданной
заданный : 18 : заданной
синтаксический : 18 : синтаксической
семантический : 18 : семантическую
целевой : 18 : целевой
такой : 18 : такой
сложный : 18 : сложные
весь : 18 : всех
научный : 18 : научной
информационный : 18 : информационная
правоохранительный : 18 : правоохранительных
международный : 18 : международная
научный : 18 : научная
семантический : 18 : семантическая
информационный : 18 : информационная
правоохранительный : 18 : правоохранительных
международный : 18 : международная
научный : 18 : научная
оригинальный : 18 : оригинальные
человеческий : 18 : человеческим
лингвистический : 18 : лингвистических
русскоязычный : 18 : русскоязычного
другой : 18 : других
автоматический : 18 : автоматического
естественный : 18 : естественном
оригинальный : 18 : оригинальные
человеческий : 18 : человеческим
лингвистический : 18 : лингвистических
русскоязычный : 18 : русскоязычного
другой : 18 : других
наш : 18 : наш
настоящий : 18 : настоящий
наибольший : 18 : наибольший
семантический : 18 : семантических
весь : 18 : всего
экспертный : 18 : экспертных
связанный : 18 : связанных
скрытый : 18 : скрытой
больший : 18 : больших
основной : 18 : основных
настоящий : 18 : настоящий
ассоциативный : 18 : ассоциативной
семантический : 18 : семантической
связанный : 18 : связанных
семантический : 18 : семантическую
основной : 18 : основную
смысловой : 18 : смысловую
каждый : 18 : каждого
ассоциативный : 18 : ассоциативных
смысловой : 18 : смысловых
другой : 18 : других
чаще : 10 : чаще
выше : 10 : выше
лингвистический : 18 : лингвистические
морфологический : 18 : морфологический
синтаксический : 18 : синтаксический
русский : 18 : русского
такой : 18 : такие
библиотечный : 18 : библиотечных
библиотечный : 18 : библиотечных
один : 18 : одному
библиотечный : 18 : библиотечной
общеупотребимый : 18 : общеупотребимые
самостоятельный : 18 : самостоятельной
смысловой : 18 : смысловой
широкий : 18 : широкое
сам : 18 : сами
выраженный : 18 : выраженное
сельский : 18 : сельского
статистический : 18 : статистические
синтаксический : 18 : синтаксических
общий : 18 : общее
такой : 18 : таким
каждый : 18 : каждой
семантический : 18 : семантической
тематический : 18 : тематический
тематический : 18 : тематического
равный : 18 : равное
ключевой : 18 : ключевой
важнейший : 18 : важнейшей
близкий : 18 : близкое
нем : 19 : нем
мал : 19 : мало
большой : 18 : большое
один : 18 : одной
другой : 18 : другой
близкий : 18 : близкое
первый : 18 : первой
первый : 18 : первая
первый : 18 : первая
двусторонний : 18 : двусторонняя
первый : 18 : первой
самый : 18 : самый
обратный : 18 : обратная
первый : 18 : первой
такой : 18 : такое
один : 18 : одна
другой : 18 : другой
тематический : 18 : тематический
ассоциативен : 19 : ассоциативно
связанный : 18 : связанными
каждый : 18 : каждой
тематический : 18 : тематическое
информативный : 18 : информативные
общий : 18 : общее
информативный : 18 : информативных
ключевой : 18 : ключевым
ассоциативный : 18 : ассоциативных
скрытый : 18 : скрытые
семантический : 18 : семантической
другой : 18 : других
эталонный : 18 : эталонных
заданный : 18 : заданной
семантический : 18 : семантическая
известный : 18 : известную
предметный : 18 : предметной
новостной : 18 : новостном
известный : 18 : известных
известный : 18 : известных
заданный : 18 : заданными
семантический : 18 : семантической
тематический : 18 : тематического
целевой : 18 : целевой
новостной : 18 : новостного
ключевой : 18 : ключевых
связной : 18 : связных
семантический : 18 : семантических
информационный : 18 : информационного
ключевой : 18 : ключевых
новый : 18 : новой
неожиданный : 18 : неожиданной
связанный : 18 : связанной
скрытый : 18 : скрытые
другой : 18 : другими
семантический : 18 : семантической
ассоциативный : 18 : ассоциативные
заданный : 18 : заданные
известный : 18 : известных
неизвестный : 18 : неизвестных
конкретный : 18 : конкретных
детальный : 18 : детальное
семантический : 18 : семантических
графический : 18 : графическое
различный : 18 : различных
оптимальный : 18 : оптимальное
зрительный : 18 : зрительного
связанный : 18 : связанные
естественный : 18 : естественном
связанный : 18 : связанные
заданный : 18 : заданных
кратчайший : 18 : кратчайшими
ассоциативный : 18 : ассоциативными
заданный : 18 : заданных
весовой : 18 : весовых
значимый : 18 : значимые
предметный : 18 : предметной
общий : 18 : общие
тематический : 18 : тематические
программный : 18 : программные
семантический : 18 : семантических
многопользовательский : 18 : многопользовательской
клиентский : 18 : клиентских
семантический : 18 : семантической
небольшой : 18 : небольшой
русскоязычный : 18 : русскоязычных
информационный : 18 : информационной
периодический : 18 : периодической
основной : 18 : основных
пропорционален : 19 : пропорционален
тематический : 18 : тематических
семантический : 18 : семантической
семантический : 18 : семантическую
связанный : 18 : связанную
ближайший : 18 : ближайшее
семантический : 18 : семантическое
интересный : 18 : интересную
связанный : 18 : связанную
единственный : 18 : единственный
очевидный : 18 : очевидные
криминальный : 18 : криминальные
весь : 18 : все
некоторый : 18 : некоторую
заданный : 18 : заданная
