Имена существительные - 43584: 
сеть : 17 : сеть
сеть : 17 : сеть
текст : 17 : текста
текст : 17 : текста
задача : 17 : задачах
задача : 17 : задачах
анализ : 17 : анализе
анализ : 17 : анализе
текст : 17 : текстов
текст : 17 : текстов
сборник : 17 : сборник
сборник : 17 : сборник
труд : 17 : трудов
труд : 17 : трудов
москва : 17 : москва
москва : 17 : москва
часть : 17 : часть
часть : 17 : часть
результат : 17 : результатов
результат : 17 : результатов
исследование : 17 : исследований
исследование : 17 : исследований
уж : 17 : уже
уж : 17 : уже
внедрение : 17 : внедрение
внедрение : 17 : внедрение
система : 17 : системе
система : 17 : системе
поддержка : 17 : поддержки
поддержка : 17 : поддержки
поиск : 17 : поиска
поиск : 17 : поиска
анализ : 17 : анализа
анализ : 17 : анализа
документ : 17 : документов
документ : 17 : документов
субд : 17 : субд
субд : 17 : субд
ряд : 17 : ряде
ряд : 17 : ряде
проект : 17 : проектов
проект : 17 : проектов
основа : 17 : основу
основа : 17 : основу
подход : 17 : подходов
подход : 17 : подходов
модель : 17 : модели
модель : 17 : модели
обработка : 17 : обработки
обработка : 17 : обработки
информация : 17 : информации
информация : 17 : информации
мозг : 17 : мозгом
мозг : 17 : мозгом
применение : 17 : применением
применение : 17 : применением
алгоритм : 17 : алгоритмов
алгоритм : 17 : алгоритмов
иллюстрация : 17 : иллюстрации
иллюстрация : 17 : иллюстрации
возможность : 17 : возможностей
возможность : 17 : возможностей
данна : 17 : данной
данна : 17 : данной
технология : 17 : технологии
технология : 17 : технологии
доклад : 17 : доклад
доклад : 17 : доклад
сеть : 17 : сеть
сеть : 17 : сеть
множество : 17 : множество
множество : 17 : множество
понятие : 17 : понятий
понятие : 17 : понятий
слово : 17 : слов
слово : 17 : слов
словосочетание : 17 : словосочетаний
словосочетание : 17 : словосочетаний
понятие : 17 : понятия
понятие : 17 : понятия
набор : 17 : набор
набор : 17 : набор
связь : 17 : связей
связь : 17 : связей
понятие : 17 : понятия
понятие : 17 : понятия
предложение : 17 : предложениях
предложение : 17 : предложениях
текст : 17 : текста
текст : 17 : текста
вероятность : 17 : вероятность
вероятность : 17 : вероятность
того : 17 : того
того : 17 : того
смысл : 17 : смыслу
смысл : 17 : смыслу
выражение : 17 : выражения
выражение : 17 : выражения
понятие : 17 : понятию
понятие : 17 : понятию
слово : 17 : слова
слово : 17 : слова
понятие : 17 : понятиями
понятие : 17 : понятиями
содержание : 17 : содержание
содержание : 17 : содержание
документ : 17 : документа
документ : 17 : документа
понятие : 17 : понятие
понятие : 17 : понятие
сочетание : 17 : сочетанием
сочетание : 17 : сочетанием
развитие : 17 : развития
развитие : 17 : развития
данные : 17 : данные
данные : 17 : данные
