Имена существительные - 43584: 
сеть : 17 : сеть
текст : 17 : текста
задача : 17 : задачах
анализ : 17 : анализе
текст : 17 : текстов
безопасность : 17 : безопасность
орган : 17 : органов
конференция : 17 : конференция
сборник : 17 : сборник
труд : 17 : трудов
москва : 17 : москва
основа : 17 : основу
подход : 17 : подходов
модель : 17 : модели
обработка : 17 : обработки
информация : 17 : информации
мозг : 17 : мозгом
применение : 17 : применением
алгоритм : 17 : алгоритмов
часть : 17 : часть
результат : 17 : результатов
исследование : 17 : исследований
уж : 17 : уже
внедрение : 17 : внедрение
система : 17 : системе
поддержка : 17 : поддержки
поиск : 17 : поиска
анализ : 17 : анализа
документ : 17 : документов
субд : 17 : субд
ряд : 17 : ряде
проект : 17 : проектов
анализ : 17 : анализа
текст : 17 : текста
язык : 17 : языке
компания : 17 : компании
сайт : 17 : сайте
основа : 17 : основу
подход : 17 : подходов
модель : 17 : модели
обработка : 17 : обработки
информация : 17 : информации
мозг : 17 : мозгом
применение : 17 : применением
алгоритм : 17 : алгоритмов
часть : 17 : часть
результат : 17 : результатов
исследование : 17 : исследований
уж : 17 : уже
внедрение : 17 : внедрение
система : 17 : системе
поддержка : 17 : поддержки
поиск : 17 : поиска
анализ : 17 : анализа
документ : 17 : документов
субд : 17 : субд
ряд : 17 : ряде
проект : 17 : проектов
опыт : 17 : опыт
момент : 17 : момент
интерес : 17 : интерес
заказчик : 17 : заказчика
технология : 17 : технология
анализ : 17 : анализа
визуализация : 17 : визуализации
содержание : 17 : содержания
текст : 17 : текста
основа : 17 : основе
сеть : 17 : сетей
решение : 17 : решения
задача : 17 : задач
поиск : 17 : поиском
информация : 17 : информации
массив : 17 : массивах
документ : 17 : документов
иллюстрация : 17 : иллюстрации
возможность : 17 : возможностей
данна : 17 : данной
технология : 17 : технологии
доклад : 17 : доклад
основа : 17 : основе
процедура : 17 : процедур
анализ : 17 : анализа
документ : 17 : документов
представление : 17 : представление
смысл : 17 : смысла
текст : 17 : текста
форма : 17 : форме
сеть : 17 : сети
сеть : 17 : сеть
множество : 17 : множество
понятие : 17 : понятий
слово : 17 : слов
словосочетание : 17 : словосочетаний
сеть : 17 : сеть
слово : 17 : слова
текст : 17 : текста
нагрузка : 17 : нагрузку
понятие : 17 : понятия
набор : 17 : набор
связь : 17 : связей
список : 17 : список
понятие : 17 : понятий
сочетание : 17 : сочетании
предложение : 17 : предложениях
текст : 17 : текста
понятие : 17 : понятия
предложение : 17 : предложениях
текст : 17 : текста
вероятность : 17 : вероятность
того : 17 : того
смысл : 17 : смыслу
алгоритм : 17 : алгоритмы
анализ : 17 : анализ
тезаурус : 17 : тезаурус
язык : 17 : языка
отождествление : 17 : отождествления
близкие : 17 : близких
смысл : 17 : смыслу
слово : 17 : слов
словосочетание : 17 : словосочетаний
выражение : 17 : выражения
понятие : 17 : понятию
того : 17 : того
число : 17 : числа
понятие : 17 : понятий
слово : 17 : слова
нагрузка : 17 : нагрузки
значение : 17 : значение
слово : 17 : слова
понятие : 17 : понятиями
содержание : 17 : содержание
документ : 17 : документа
понятие : 17 : понятие
сочетание : 17 : сочетанием
развитие : 17 : развития
понятие : 17 : понятие
качество : 17 : качестве
имя : 17 : имени
тема : 17 : темы
документ : 17 : документа
данные : 17 : данные
связь : 17 : связях
понятие : 17 : понятий
текст : 17 : тексте
роль : 17 : ролях
понятие : 17 : понятий
фраза : 17 : фразах
вклад : 17 : вклад
содержание : 17 : содержание
документ : 17 : документа
образ : 17 : образом
тема : 17 : темы
информативность : 17 : информативности
итог : 17 : итоге
тема : 17 : теме
сеть : 17 : сети
вес : 17 : вес
значение : 17 : значение
вес : 17 : веса
тема : 17 : теме
документ : 17 : документа
нуль : 17 : нулю
значение : 17 : значение
вес : 17 : веса
тема : 17 : темы
текст : 17 : тексте
сведение : 17 : сведений
данна : 17 : данной
тема : 17 : теме
пар : 17 : парами
очередь : 17 : очередь
характеристика : 17 : характеристики
вес : 17 : веса
связь : 17 : связей
значение : 17 : значение
вес : 17 : веса
связь : 17 : связи
тема : 17 : темы
часть : 17 : часть
информация : 17 : информации
текст : 17 : тексте
время : 17 : время
втора : 17 : второй
тема : 17 : темы
тема : 17 : тема
контекст : 17 : контексте
втора : 17 : второй
малое : 17 : малое
значение : 17 : значение
вес : 17 : веса
факт : 17 : факт
тема : 17 : тема
втора : 17 : второй
нея : 17 : нее
связь : 17 : связь
пара : 17 : парой
сеть : 17 : сети
